Accession	Description	Pfam.IDs	Entrez.Gene.ID	Gene.Symbol	Chromosome
AAA52701.1	heparan sulfate proteoglycan core protein, partial [Homo sapiens]	Pf01034	6383	SDC2	8
CAB45715.1	hypothetical protein [Homo sapiens]	Pf07034	23595	ORC3	6
XP_016862134.1	leucine zipper transcription factor-like protein 1 isoform X3 [Homo sapiens]	Pf04111, Pf09731, Pf15294	54585	LZTFL1	3
EAW98217.1	hCG27366, isoform CRA_c [Homo sapiens]	Pf05351	84747	UNC119B	12
NP_079472.1	grpE protein homolog 1, mitochondrial precursor [Homo sapiens]	Pf01025	80273	GRPEL1	4
AAC52035.1	beta-tubulin [Homo sapiens]	Pf00091, Pf03953, Pf10644	10381	TUBB3	16
BAD96781.1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa variant, partial [Homo sapiens]	Pf01512, Pf10531, Pf10589	4723	NDUFV1	11
NP_057709.2	serine/Arginine-related protein 53 isoform 1 [Homo sapiens]		51319	RSRC1	3
NP_620126.2	coiled-coil domain-containing protein 126 precursor [Homo sapiens]	Pf13234, Pf15027	90693	CCDC126	7
XP_011532005.1	microtubule-associated protein 4 isoform X2 [Homo sapiens]	Pf00418	4134	MAP4	3
ADP22379.1	ATP synthase F0 subunit 6 (mitochondrion) [Homo sapiens]	Pf00119			
NP_995314.1	nck-associated protein 1 isoform 2 [Homo sapiens]	Pf09735	10787	NCKAP1	2
NP_001128512.1	dynactin subunit 1 isoform 3 [Homo sapiens]	Pf00261, Pf01302, Pf04111, Pf05622, Pf05667, Pf06160, Pf08317, Pf12128, Pf12329, Pf12455, Pf13166, Pf13514, Pf15035	1639	DCTN1	2
AAH06372.1	ARP1 actin-related protein 1 homolog B, centractin beta (yeast) [Homo sapiens]	Pf00022	10120	ACTR1B	2
XP_011534929.1	pleckstrin homology domain-containing family G member 3 isoform X4 [Homo sapiens]	Pf00169, Pf00621	26030	PLEKHG3	14
EAW85130.1	G1 to S phase transition 1, isoform CRA_a [Homo sapiens]	Pf00009, Pf03143, Pf03144, Pf07145	2935	GSPT1	16
NP_619649.1	non-structural maintenance of chromosomes element 3 homolog [Homo sapiens]	Pf01454	56160	NDNL2; NSMCE3	15; CHR_HSCHR15_4_CTG8
5TCX_A	Chain A, Crystal Structure Of Human Tetraspanin Cd81				
NP_000089.1	carnitine O-palmitoyltransferase 2, mitochondrial isoform 1 precursor [Homo sapiens]	Pf00755	1376	CPT2	1
AAH71592.1	FARP1 protein [Homo sapiens]	Pf00169, Pf00373, Pf00621, Pf08736, Pf09379, Pf09380	10160	FARP1	13
BAD96367.1	ribosomal protein L18a variant, partial [Homo sapiens]	Pf01775	6142	RPL18A	19
AQY77069.1	RING1 [Homo sapiens]	Pf00097, Pf11789, Pf13639, Pf13920, Pf13923, Pf14570, Pf14634, Pf14835, Pf15227	6015	RING1	6
BAG60977.1	unnamed protein product [Homo sapiens]	Pf10498	55081	IFT57	3
AAC17112.1	GC20 protein [Homo sapiens]	Pf01253	10289	EIF1B	3
AAC50766.1	p105MCM [Homo sapiens]	Pf00493, Pf01078, Pf07728, Pf14551	4175	MCM6	2
XP_011521134.1	ATP-dependent RNA helicase DDX19B isoform X1 [Homo sapiens]	Pf00270, Pf00271	11269	DDX19B	16
NP_060530.3	isoleucine--tRNA ligase, mitochondrial precursor [Homo sapiens]	Pf00133, Pf06827, Pf08264, Pf09334, Pf13603	55699	IARS2	1
NP_001229247.1	high affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A isoform c [Homo sapiens]	Pf00233	5150	PDE7A	8
3BH6_B	Chain B, Crystal Structure Of The Rp2-arl3 Complex Bound To Gppnhp				
CAA68395.1	unnamed protein product [Homo sapiens]	Pf00040, Pf00878, Pf02157, Pf09451	3482	IGF2R	6
NP_001278357.1	apoptosis regulator BAX isoform 1 [Homo sapiens]	Pf00452	581	BAX	19
XP_006711275.1	pleckstrin homology domain-containing family A member 6 isoform X10 [Homo sapiens]	Pf00169, Pf15413	22874	PLEKHA6	1
AAQ89273.1	CTHRC1 [Homo sapiens]	Pf01391	115908	CTHRC1	8
AAB58382.1	acetyl-CoA carboxylase [Homo sapiens]	Pf00289, Pf00364, Pf01039, Pf02785, Pf02786, Pf08326, Pf13535, Pf15632	32	ACACB	12
AAA20967.1	syntaxin [Homo sapiens]	Pf00804, Pf05739	6810	STX4	16
EAW60631.1	thyroid hormone receptor associated protein 4, isoform CRA_c [Homo sapiens]	Pf11277	9862	MED24	17
AAV54070.1	CLE [Homo sapiens]	Pf10036	51637	C14orf166; RTRAF	14
XP_011514785.1	coiled-coil domain-containing protein 136 isoform X1 [Homo sapiens]	Pf03938	64753	CCDC136	7
2GAO_A	Chain A, Crystal Structure Of Human Sar1a In Complex With Gdp				
AAI15007.1	Wolf-Hirschhorn syndrome candidate 1-like 1 [Homo sapiens]	Pf00628, Pf00855, Pf00856	54904	WHSC1L1; NSD3	8
EAW48099.1	hCG2030443, isoform CRA_a [Homo sapiens]	Pf04111, Pf10174, Pf10186, Pf11180, Pf11365			
NP_066952.1	inorganic pyrophosphatase [Homo sapiens]	Pf00719	5464	PPA1	10
EAW89220.1	chromosome 17 open reading frame 28, isoform CRA_d [Homo sapiens]	Pf09742, Pf12722	283987	HID1	17
XP_011520726.1	DNA repair endonuclease XPF isoform X1 [Homo sapiens]	Pf02732	2072	ERCC4	16
AAH30776.2	Intraflagellar transport 88 homolog (Chlamydomonas) [Homo sapiens]	Pf00515, Pf12895, Pf13414, Pf13424, Pf13432, Pf14559, Pf14938	8100	IFT88	13
XP_011527203.1	ADP-ribosylation factor GTPase-activating protein 1 isoform X1 [Homo sapiens]	Pf01412	55738	ARFGAP1	20
NP_112483.1	ribosomal biogenesis protein LAS1L isoform 1 [Homo sapiens]	Pf04031	81887	LAS1L	X
AAH33307.1	Mannosidase, alpha, class 2B, member 2 [Homo sapiens]	Pf01074, Pf07748, Pf09261	23324	MAN2B2	4
XP_005251776.1	disabled homolog 2-interacting protein isoform X5 [Homo sapiens]	Pf00168, Pf00169, Pf00616, Pf12004	153090	DAB2IP	9
XP_011522182.1	myosin-10 isoform X3 [Homo sapiens]	Pf00063, Pf00769, Pf01496, Pf01576, Pf02736, Pf04111, Pf05622, Pf05911, Pf06637, Pf07888, Pf09726, Pf12128, Pf13094, Pf13514	4628	MYH10	17
3BIC_A	Chain A, Crystal Structure Of Human Methylmalonyl-coa Mutase				
XP_005259352.1	calpain small subunit 1 isoform X1 [Homo sapiens]	Pf13499, Pf13833	826	CAPNS1	19
BAG65446.1	unnamed protein product [Homo sapiens]	Pf00801	10457	GPNMB	7
EAW56515.1	CTTNBP2 N-terminal like, isoform CRA_a [Homo sapiens]	Pf01576, Pf02463, Pf04111, Pf04156, Pf05557, Pf07888, Pf09727, Pf09728, Pf12128, Pf13514	55917	CTTNBP2NL	1
2K7N_A	Chain A, Solution structure of the PPIL1 bound to a fragment of SKIP				
AAA35682.1	ribosmal protein small subunit [Homo sapiens]	Pf01015	6189	RPS3A	4
AAZ73768.1	PARF [Homo sapiens]	Pf00025, Pf00071, Pf08477	55684	RABL6	9
XP_005264105.1	mitogen-activated protein kinase kinase kinase kinase 4 isoform X1 [Homo sapiens]	Pf00069, Pf00780, Pf07714	9448	MAP4K4	2
NP_003783.1	endothelial differentiation-related factor 1 isoform alpha [Homo sapiens]	Pf01381, Pf08523, Pf12844, Pf13560	8721	EDF1	9
NP_001352550.1	disks large-associated protein 4 isoform d [Homo sapiens]				
NP_006806.1	transmembrane emp24 domain-containing protein 2 isoform 1 precursor [Homo sapiens]	Pf01105	10959	TMED2	12
NP_001317621.1	26S proteasome non-ATPase regulatory subunit 4 isoform 1 [Homo sapiens]	Pf02809, Pf04056, Pf13519	5710	PSMD4	1
NP_733746.1	sialate O-acetylesterase isoform 1 precursor [Homo sapiens]	Pf03629	54414	SIAE	11
AAH68012.1	ATXN2L protein, partial [Homo sapiens]	Pf06741, Pf07145, Pf09770, Pf14438	11273	ATXN2L	16
NP_001316422.1	ER membrane protein complex subunit 2 isoform 1 [Homo sapiens]	Pf13414, Pf13432, Pf14559	9694	EMC2	8
EAW83856.1	nucleoporin 205kDa, isoform CRA_b [Homo sapiens]	Pf11894	23165	NUP205	7
CAB43491.1	TSC-22-like protein [Homo sapiens]	Pf01166, Pf06005, Pf15619	81628	TSC22D4	7
XP_011527598.1	centrosomal protein kizuna isoform X1 [Homo sapiens]		55857	PLK1S1; KIZ	20
AAH98386.1	Vacuolar protein sorting 26 homolog B (S. pombe) [Homo sapiens]	Pf03643	112936	VPS26B	11
NP_065723.1	protein S100-A14 [Homo sapiens]	Pf01023	57402	S100A14	1
AAH36459.1	RING1 and YY1 binding protein [Homo sapiens]	Pf00641	23429	RYBP	3
NP_001350823.1	alpha-ketoglutarate-dependent dioxygenase FTO isoform 1 [Homo sapiens]				
CAI45989.1	hypothetical protein [Homo sapiens]	Pf00041	22862	FNDC3A	13
NP_079100.2	zinc finger CCCH domain-containing protein 14 isoform 1 [Homo sapiens]	Pf14608	79882	ZC3H14	14
NP_065849.1	ubiquitin carboxyl-terminal hydrolase 35 [Homo sapiens]	Pf00443, Pf13423	57558	USP35	11
EAW79931.1	protein phosphatase 4 (formerly X), catalytic subunit, isoform CRA_c [Homo sapiens]	Pf00149	5531	PPP4C	16
AAH46166.1	Mitochondrial translational initiation factor 3 [Homo sapiens]	Pf00707, Pf05198	219402	MTIF3	13
CAD97668.1	hypothetical protein [Homo sapiens]	Pf00804, Pf05739	6811	STX5	11
AAH12197.1	Ribosomal protein L8 [Homo sapiens]	Pf00181, Pf03947	6132	RPL8	8
AAL33548.1	NUANCE [Homo sapiens]	Pf00307, Pf00435, Pf10541, Pf11971, Pf13654	23224	SYNE2	14
NP_872353.2	transmembrane emp24 domain-containing protein 4 isoform 1 precursor [Homo sapiens]	Pf01105	222068	TMED4	7
NP_001171488.1	acyl-CoA-binding protein isoform 4 [Homo sapiens]	Pf00887	1622	DBI	2
BAD92648.1	promyelocytic leukemia protein isoform 1 variant, partial [Homo sapiens]	Pf00097, Pf00643, Pf12126, Pf13639, Pf13920, Pf14634, Pf14835	5371	PML	15
NP_001341690.1	alpha-adducin isoform g [Homo sapiens]	Pf00596	118	ADD1	4
AAP73809.1	NPC-A-13 [Homo sapiens]	Pf06825	3281	HSBP1	16
XP_024306413.1	neuron navigator 1 isoform X8 [Homo sapiens]				
NP_116126.3	lamin-B2 [Homo sapiens]	Pf00038, Pf00932, Pf01576, Pf12128	84823	LMNB2	19
NP_009143.1	E3 ubiquitin-protein ligase RING2 [Homo sapiens]	Pf00097, Pf11789, Pf13639, Pf13920, Pf13923, Pf14570, Pf14634, Pf14835, Pf15227	6045	RNF2	1
AAH63242.1	Fatty acid synthase [Homo sapiens]	Pf00106, Pf00107, Pf00108, Pf00109, Pf00698, Pf00975, Pf02801, Pf08242, Pf08659, Pf13602, Pf14765	2194	FASN	17
XP_005266132.1	dipeptidyl peptidase 2 isoform X1 [Homo sapiens]	Pf05577	29952	DPP7	9
6FP6_B	Chain B, Copper chaperone for superoxide dismutase				
XP_016880222.1	rabankyrin-5 isoform X1 [Homo sapiens]	Pf00023, Pf00651, Pf01363, Pf07707, Pf12796, Pf13606, Pf13637, Pf13857	51479	ANKFY1	17
3AAA_C	Chain C, Crystal Structure Of Actin Capping Protein In Complex With V-1				
2OB0_A	Chain A, Human Mak3 Homolog In Complex With Acetyl-Coa				
BAD92022.1	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase isoform 1 variant, partial [Homo sapiens]	Pf00551, Pf00586, Pf01071, Pf02222, Pf02655, Pf02769, Pf02843, Pf02844, Pf03435, Pf07478, Pf08442, Pf08443, Pf13535, Pf15632	2618	GART	21
NP_001041675.1	chloride channel CLIC-like protein 1 isoform 1 precursor [Homo sapiens]	Pf05934	23155	CLCC1	1
2OYC_A	Chain A, Pyridoxal phosphate phosphatase				
NP_000108.1	emerin [Homo sapiens]	Pf03020	2010	EMD	X
EAX03926.1	mitochondrial carrier homolog 1 (C. elegans), isoform CRA_b [Homo sapiens]	Pf00153	23787	MTCH1	6
EAW96839.1	hCG2016179, isoform CRA_f [Homo sapiens]	Pf00226, Pf02037, Pf14901	85406	DNAJC14	12
EAX06918.1	hCG2031650, isoform CRA_g [Homo sapiens]	Pf01425			
BAA83798.1	MTH1a (p26) [Homo sapiens]	Pf00293	4521	NUDT1	7
AAH66309.1	TP53 regulating kinase [Homo sapiens]	Pf00069, Pf01163, Pf01636, Pf06293	112858	TP53RK	20
BAC11302.1	unnamed protein product [Homo sapiens]	Pf02005, Pf02475	81627	TRMT1L	1
NP_006393.2	ragulator complex protein LAMTOR5 [Homo sapiens]		10542	LAMTOR5	1
XP_024308560.1	endoplasmic reticulum lectin 1 isoform X1 [Homo sapiens]				
AAC33433.1	histone macroH2A1.2 [Homo sapiens]	Pf00125, Pf01661	9555	H2AFY	5
NP_004730.2	metastasis-associated protein MTA2 isoform 1 [Homo sapiens]	Pf00249, Pf00320, Pf01426, Pf01448	9219	MTA2	11
AAG34678.1	vacuolar protein sorting protein 16 [Homo sapiens]	Pf04840, Pf04841	64601	VPS16	20
AAH09115.1	MARS2 protein, partial [Homo sapiens]	Pf00133, Pf01406, Pf08264, Pf09334	92935	MARS2	2
2KDO_A	Chain A, Structure of the human Shwachman-Bodian-Diamond syndrome protein, SBDS				
NP_002259.1	importin subunit alpha-3 [Homo sapiens]	Pf00514, Pf01749, Pf13513, Pf13646	3840	KPNA4	3
AAB67270.1	ras interactor [Homo sapiens]	Pf04142	9610	RIN1	11
EAW54569.1	voltage-dependent anion channel 2, isoform CRA_a [Homo sapiens]	Pf01459	7417	VDAC2	10
NP_006450.2	erlin-1 isoform a [Homo sapiens]	Pf01145	10613	ERLIN1	10
AAI57844.1	Protein phosphatase 1H (PP2C domain containing) [Homo sapiens]	Pf00481	57460	PPM1H	12
NP_060482.2	kinesin-like protein KIF26B [Homo sapiens]	Pf00225	55083	KIF26B	1
2BLE_A	Chain A, Structure of human guanosine monophosphate reductase GMPR1 in complex with GMP				
NP_001096617.1	GRB10-interacting GYF protein 2 isoform a [Homo sapiens]	Pf02213	26058	GIGYF2	2
XP_024307558.1	very-long-chain enoyl-CoA reductase isoform X1 [Homo sapiens]				
NP_001839.2	collagen alpha-1(VI) chain precursor [Homo sapiens]	Pf00092, Pf01391, Pf13519	1291	COL6A1	21
AAH10087.1	Phosphoglucomutase 2 [Homo sapiens]	Pf00408, Pf02878, Pf02879, Pf02880	55276	PGM2	4
NP_919223.1	heterogeneous nuclear ribonucleoprotein A3 isoform a [Homo sapiens]	Pf00076, Pf13893, Pf14259	220988	HNRNPA3	2
AAF86870.1	DC12 [Homo sapiens]	Pf02586	56941	C3orf37; HMCES	3
XP_005246522.1	STE20/SPS1-related proline-alanine-rich protein kinase isoform X2 [Homo sapiens]	Pf00069, Pf07714, Pf12202	27347	STK39	2
NP_056007.1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 isoform a [Homo sapiens]	Pf00168, Pf00387, Pf00388, Pf08703, Pf09279	23236	PLCB1	20
NP_005879.1	phosphate carrier protein, mitochondrial isoform a precursor [Homo sapiens]	Pf00153	5250	SLC25A3	12
AAF29081.1	HSPC117 [Homo sapiens]	Pf01139	51493	C22orf28; RTCB	22
1SKO_A	Chain A, Mp1-P14 Complex				
AAF28978.1	HSPC300, partial [Homo sapiens]		55845	BRK1	3
BAD96198.1	chaperonin containing TCP1, subunit 7 (eta) variant, partial [Homo sapiens]	Pf00118	10574	CCT7	2
XP_006712994.1	ubiquitin-like modifier-activating enzyme ATG7 isoform X1 [Homo sapiens]	Pf00899	10533	ATG7	3
BAG58971.1	unnamed protein product [Homo sapiens]	Pf00561, Pf02230, Pf03959, Pf07859, Pf12695, Pf12697			
NP_005752.1	plexin-C1 precursor [Homo sapiens]	Pf01437, Pf01833, Pf08337	10154	PLXNC1	12
BAG34995.1	unnamed protein product [Homo sapiens]	Pf01920	5203	PFDN4	20
NP_003361.1	vasodilator-stimulated phosphoprotein [Homo sapiens]	Pf00568	7408	VASP	19
EAW54323.1	hexokinase 1, isoform CRA_d [Homo sapiens]	Pf00349, Pf03727	3098	HK1	10
AAR30505.1	transcription factor SP3 large isoform [Homo sapiens]	Pf00096, Pf13465, Pf13894	6670	SP3	2
XP_011519908.2	unconventional myosin-Va isoform X1 [Homo sapiens]	Pf00063, Pf00612, Pf00769, Pf01442, Pf01576, Pf01843, Pf02463, Pf04111, Pf04156, Pf05262, Pf05557, Pf06160, Pf07888, Pf07926, Pf09726, Pf09731, Pf10174, Pf12128, Pf12718, Pf13851, Pf15035, Pf15070	4644	MYO5A	15
CAI64497.1	tumor rejection antigen (gp96) 1 [Homo sapiens]	Pf00183, Pf02518, Pf13589	7184	HSP90B1	12
XP_005245072.1	protein PRRC2C isoform X1 [Homo sapiens]	Pf07001	23215	PRRC2C	1
AAC51834.1	eIF-1A, Y isoform [Homo sapiens]	Pf01176	9086	EIF1AY	Y
5YJF_A	Chain A, Co-crystal structure of Human Nicotinamide N-methyltransferase (NNMT) with small molecule analog of Nicotinamide				
XP_005256178.1	telomeric repeat-binding factor 2 isoform X1 [Homo sapiens]	Pf00249, Pf08558, Pf13873, Pf13921	7014	TERF2	16
AAH50036.1	CSNK2A1 protein [Homo sapiens]	Pf00069, Pf01636, Pf07714	1457	CSNK2A1	20
BAB15001.1	unnamed protein product [Homo sapiens]	Pf03853, Pf09532, Pf12701	80153	EDC3	15
EAW61131.1	drebrin-like, isoform CRA_c [Homo sapiens]	Pf00018, Pf00241, Pf07653, Pf14604	28988	DBNL	7
EAW67038.1	DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae), isoform CRA_b [Homo sapiens]	Pf03556	84259	DCUN1D5	11
NP_851853.1	LEM domain-containing protein 2 isoform 1 [Homo sapiens]	Pf03020, Pf09402	221496	LEMD2	6
NP_001036013.1	fasciculation and elongation protein zeta-2 isoform 2 [Homo sapiens]	Pf07763	9637	FEZ2	2
XP_011516800.1	G-protein-signaling modulator 1 isoform X2 [Homo sapiens]	Pf00515, Pf02188, Pf13176, Pf13181, Pf13414, Pf13424	26086	GPSM1	9
5SZI_A	Chain A, Structure Of Human Rab8a In Complex With The Bmerb Domain Of Mical-cl				
3E1Y_A	Chain A, Crystal Structure Of Human Erf1ERF3 COMPLEX				
EAW60315.1	ribosomal protein L3, isoform CRA_f [Homo sapiens]	Pf00297	6122	RPL3	22
3WJA_A	Chain A, The crystal structure of human cytosolic NADP(+)-dependent malic enzyme in apo form				
AAH02360.1	Elongation factor Tu GTP binding domain containing 2 [Homo sapiens]	Pf00009, Pf00679, Pf03144, Pf03764, Pf14492	9343	EFTUD2	17
XP_011530357.1	E3 ubiquitin-protein ligase MARCH1 isoform X1 [Homo sapiens]	Pf12906	55016	MARCH1	4
BAG70165.1	autoantigen La, partial [Homo sapiens]	Pf00076, Pf05383, Pf08777, Pf14259	6741	SSB	2
NP_031398.2	ATP-dependent RNA helicase DDX42 [Homo sapiens]	Pf00270, Pf00271, Pf13307	11325	DDX42	17
CAA28352.1	unnamed protein product [Homo sapiens]	Pf00076, Pf12220, Pf13893, Pf14259			
AAD00728.1	hepatocellular carcinoma associated protein [Homo sapiens]	Pf01454	10916	MAGED2	X
XP_006712933.1	GRIP and coiled-coil domain-containing protein 2 isoform X1 [Homo sapiens]	Pf00038, Pf01465, Pf04111, Pf12128	9648	GCC2	2
NP_001350687.1	glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial isoform 1 [Homo sapiens]				
BAH13215.1	unnamed protein product [Homo sapiens]	Pf02990, Pf03357			
BAG37895.1	unnamed protein product [Homo sapiens]	Pf00855	3068	HDGF	1
AAI05129.1	Tetratricopeptide repeat domain 19 [Homo sapiens]	Pf13414, Pf13424	54902	TTC19	17
AAH65495.1	KIAA1967 [Homo sapiens]	Pf14443, Pf14444	57805	CCAR2; KIAA1967	8
EAX10206.1	Crn, crooked neck-like 1 (Drosophila), isoform CRA_a [Homo sapiens]	Pf02184, Pf05843	51340	CRNKL1	20
NP_057033.2	Golgi to ER traffic protein 4 homolog [Homo sapiens]	Pf04190	51608	GET4	7
AAC50655.1	Pxaaa1p [Homo sapiens]	Pf00004, Pf00910, Pf05729, Pf07724, Pf13086, Pf13191, Pf13207, Pf13245	5190	PEX6	6
ADW01220.1	mutant methyl CpG binding protein 2 variant 1 [Homo sapiens]	Pf01429	4204	MECP2	X
BAD93136.1	Hypothetical protein DKFZp434O1826 variant, partial [Homo sapiens]	Pf00400, Pf13765	374286	CDRT1	17
CAE12159.1	very long-chain acyl-CoA synthetase homologue 3 [Homo sapiens]	Pf00501, Pf13193	11000	SLC27A3	1
NP_003934.1	starch-binding domain-containing protein 1 [Homo sapiens]	Pf00686	8987	STBD1	4
BAD92300.1	Polyhomeotic-like protein 1 variant, partial [Homo sapiens]	Pf00536, Pf06467, Pf07647	1911	PHC1	12
CAD38758.1	hypothetical protein, partial [Homo sapiens]		54921	CHTF8	16
2ZGV_A	Chain A, Crystal Structure Of Human Phosphoglycerate Kinase Bound To D-Adp				
CAH18271.1	hypothetical protein [Homo sapiens]	Pf00670, Pf08514	10735	STAG2	X
NP_001243727.1	nucleolar protein 4-like isoform 1 [Homo sapiens]		140688	C20orf112; NOL4L	20
BAD96636.1	isocitrate dehydrogenase 2 (NADP+), mitochondrial precursor variant, partial [Homo sapiens]	Pf00180	3418	IDH2	15
BAD92037.1	carbamoyl-phosphate synthetase 1 variant, partial [Homo sapiens]	Pf00117, Pf00289, Pf00988, Pf02142, Pf02222, Pf02786, Pf02787, Pf07478, Pf13535, Pf15632	1373	CPS1	2
AAH00441.2	JUP protein, partial [Homo sapiens]	Pf00514	3728	JUP	17
NP_001129224.1	protein ecdysoneless homolog isoform 2 [Homo sapiens]	Pf07093, Pf13900	11319	ECD	10
BAF84755.1	unnamed protein product [Homo sapiens]	Pf13499	4924	NUCB1	19
CAD97622.1	hypothetical protein, partial [Homo sapiens]	Pf01756, Pf02770, Pf14749	51	ACOX1	17
XP_005267806.1	ena/VASP-like protein isoform X2 [Homo sapiens]	Pf00568, Pf08776	51466	EVL	14
XP_016864078.1	negative elongation factor A isoform X1 [Homo sapiens]		7469	NELFA; WHSC2	4
XP_005249816.1	2-oxoglutarate dehydrogenase, mitochondrial isoform X1 [Homo sapiens]	Pf00676, Pf02779	4967	OGDH	7
NP_001879.1	ketimine reductase mu-crystallin [Homo sapiens]	Pf01488, Pf02423, Pf03446, Pf03807	1428	CRYM	16; CHR_HG926_PATCH
NP_054706.1	vinculin isoform meta-VCL [Homo sapiens]	Pf01044	7414	VCL	10
AAN77183.1	SR-related CTD associated factor 6 [Homo sapiens]	Pf01585, Pf01805, Pf04818	10523	CHERP	19
EAW53700.1	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1, isoform CRA_i [Homo sapiens]	Pf00400	10399	GNB2L1; RACK1	5
XP_016876581.1	peptidyl-prolyl cis-trans isomerase FKBP3 isoform X1 [Homo sapiens]	Pf00254	2287	FKBP3	14
EAW72874.1	hCG2005011, isoform CRA_f [Homo sapiens]		55559	HAUS7	X
NP_003086.1	small nuclear ribonucleoprotein F [Homo sapiens]	Pf01423	6636	SNRPF	12
AAQ88551.1	RPRG9369 [Homo sapiens]	Pf07773	79600	TCTN1	12
NP_006054.2	kelch-like protein 41 [Homo sapiens]	Pf00651, Pf01344, Pf07646, Pf07707, Pf13415, Pf13418, Pf13964	10324	KBTBD10; KLHL41	2
NP_002267.2	keratin, type I cytoskeletal 19 [Homo sapiens]	Pf00038	3880	KRT19	17
EAW47918.1	KIAA1244 [Homo sapiens]	Pf09324	57221	KIAA1244; ARFGEF3	6
AAC05826.1	lung cancer antigen NY-LU-12 variant A [Homo sapiens]	Pf01585, Pf14259	10180	RBM6	3
NP_056986.2	E3 ubiquitin-protein ligase UBR5 isoform 1 [Homo sapiens]	Pf00632, Pf00658, Pf02207, Pf11547	51366	UBR5	8
XP_005264696.2	heterogeneous nuclear ribonucleoprotein L-like isoform X1 [Homo sapiens]	Pf00076, Pf13893, Pf14259	92906	HNRNPLL; HNRPLL	2
XP_005250774.1	mitochondrial-processing peptidase subunit beta isoform X1 [Homo sapiens]	Pf00675, Pf05193	9512	PMPCB	7
AAH66645.1	Methionine adenosyltransferase II, beta [Homo sapiens]	Pf00106, Pf01073, Pf01370, Pf02719, Pf04321, Pf07993, Pf13460	27430	MAT2B	5
EAW56827.1	heterogeneous nuclear ribonucleoprotein L, isoform CRA_b [Homo sapiens]	Pf00076, Pf13893, Pf14259	3191	HNRNPL	19
NP_056143.1	adenosylhomocysteinase 3 isoform a [Homo sapiens]	Pf00670, Pf01262, Pf02254, Pf02826, Pf05221	23382	AHCYL2	7
XP_024306436.1	exocyst complex component 7 isoform X1 [Homo sapiens]				
NP_001349898.1	zinc finger C2HC domain-containing protein 1A isoform 2 [Homo sapiens]				
AEY99342.1	WNK lysine deficient protein kinase 1 isoform [Homo sapiens]	Pf00069, Pf07714, Pf12202	65125	WNK1	12
BAG57019.1	unnamed protein product [Homo sapiens]	Pf00441, Pf02770, Pf02771, Pf08028			
BAH12301.1	unnamed protein product [Homo sapiens]	Pf00307, Pf00412, Pf00890, Pf01266, Pf01494, Pf07992, Pf11971, Pf12130, Pf13450	64780	MICAL1	6
EAW60681.1	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris), isoform CRA_b [Homo sapiens]	Pf00038, Pf04111	3858	KRT10	17
EAX07632.1	pumilio homolog 1 (Drosophila), isoform CRA_c [Homo sapiens]	Pf00806	9698	PUM1	1
AAH48980.1	Protein kinase, AMP-activated, alpha 1 catalytic subunit [Homo sapiens]	Pf00069, Pf07714, Pf14531	5562	PRKAA1	5
NP_116193.2	2-aminoethanethiol dioxygenase [Homo sapiens]	Pf07847	84890	ADO	10
EAW74913.1	mitochondrial ribosomal protein L48 [Homo sapiens]	Pf00338	51642	MRPL48	11
AAH32853.1	Golgi autoantigen, golgin subfamily a, 1 [Homo sapiens]	Pf01465, Pf01496, Pf01576, Pf04111, Pf04156, Pf04849, Pf05816, Pf07888, Pf10212, Pf12128, Pf13166	2800	GOLGA1	9
NP_076424.1	DDRGK domain-containing protein 1 [Homo sapiens]	Pf09756	65992	DDRGK1	20
AAF76859.1	chloride ion current inducer protein I(Cln) [Homo sapiens]	Pf03517	1207	CLNS1A	11
